platform_id,display_name,family,vendor,generation,kind,sort_order,active_status,notes
ps5,PlayStation 5,playstation,Sony,9th_gen,console,10,active,Current-generation Sony console used for modern releases.
xbox_series_xs,Xbox Series X|S,xbox,Microsoft,9th_gen,console,20,active,Canonical family id for Series X and Series S availability.
switch_2,Nintendo Switch 2,nintendo,Nintendo,10th_gen,hybrid,30,announced,Upcoming Nintendo platform used for future release tracking.
pc,PC,pc,Multiple,rolling,computer,40,active,General PC platform id used for Windows and comparable desktop releases.
switch_1,Nintendo Switch,nintendo,Nintendo,9th_gen,hybrid,50,active,Current Nintendo hybrid platform in the user's access profile.
ps1,PlayStation,playstation,Sony,5th_gen,console,60,legacy,Legacy Sony platform kept for your historical library access.
psp,PlayStation Portable,playstation,Sony,7th_gen,handheld,70,legacy,Legacy Sony handheld kept for your historical library access.
gba,Game Boy Advance,nintendo,Nintendo,6th_gen,handheld,80,legacy,Legacy Nintendo handheld kept for your historical library access.
ds,Nintendo DS,nintendo,Nintendo,7th_gen,handheld,90,legacy,Legacy Nintendo handheld kept for your historical library access.
3ds,Nintendo 3DS,nintendo,Nintendo,8th_gen,handheld,100,legacy,Legacy Nintendo handheld kept for your historical library access.
